,X,Y,Z,formation
0,154613.67249129296,123991.1696439545,-663.0,Caillette
1,154628.1699573943,123988.16219088029,-663.0,Caillette
2,154655.54549178775,123983.84379672245,-664.3,Caillette
3,154816.54609589325,123955.31596073994,-671.1,Caillette
4,154831.09725509537,123952.9873460295,-671.2,Caillette
5,154839.08107695836,123953.433,-671.2,Caillette
6,154912.24597335732,123824.19246593164,-686.8,Caillette
7,154914.59126088416,123823.04796561853,-686.8,Caillette
8,154925.13567360488,123808.28203534955,-686.5,Caillette
9,154868.61822809136,123744.14087859073,-698.9,Caillette
10,154843.78564374364,123729.66560329257,-703.0,Caillette
11,154805.3512920899,123712.19544344996,-709.0,Caillette
12,154949.66405329734,123925.00355834725,-679.3,Caillette
13,154979.51543198977,123906.27734625082,-677.9,Caillette
14,154999.69275277265,123891.14435566368,-676.5,Caillette
15,154711.40122221163,124602.91243932035,-350.0,Caillette
16,154724.15662543054,124601.52094078738,-350.0,Caillette
17,154742.09149541106,124602.21669005386,-350.0,Caillette
18,154742.12844373088,124602.14205554295,-350.0,Caillette
19,154746.5440580641,124599.69937527353,-353.0,Caillette
20,154756.7375507269,124599.84029913522,-356.9,Caillette
21,154756.90692289497,124599.87946887028,-356.9,Caillette
22,154782.70716495445,124602.1082855927,-349.8,Caillette
23,154803.40814451265,124601.93943584102,-349.7,Caillette
24,154816.9773906658,124600.47027153226,-349.0,Caillette
25,154841.7155811617,124598.39143199478,-349.4,Caillette
26,154883.65616883023,124598.54734496013,-349.4,Caillette
27,155031.27461782325,124606.52488313481,-349.2,Caillette
28,155046.3103003073,124620.63052340344,-348.8,Caillette
29,155068.3600511667,124627.64459177875,-346.8,Caillette
30,155219.23913492385,124630.56170112993,-346.0,Caillette
31,155233.40051168232,124629.83795104006,-345.9,Caillette
32,155246.21088827297,124630.17570108201,-345.9,Caillette
33,155362.1908782415,124624.56426191168,-344.9,Caillette
34,155384.30101958147,124624.76804201619,-345.5,Caillette
35,155395.61081538213,124621.50756034395,-345.3,Caillette
36,155481.89311091197,124661.64858557278,-339.8,Caillette
37,155508.56522026515,124662.95133641524,-339.0,Caillette
38,155517.75304199607,124665.07687726343,-338.9,Caillette
39,155625.7865604425,124663.78842303633,-338.0,Caillette
40,155647.4594195376,124663.72420715753,-337.9,Caillette
41,155660.71999850983,124660.32076558113,-337.7,Caillette
42,155572.9685771499,124490.85865270838,-380.35,Caillette
43,155587.61281550827,124493.98495078488,-380.3,Caillette
44,155629.24194252698,124490.85865270838,-380.2,Caillette
45,155710.90766093123,124486.75937880467,-380.8,Caillette
46,155743.70108262237,124484.14312232862,-384.75,Caillette
47,155779.92270245447,124482.42902325814,-384.4,Caillette
48,155820.60117078392,124480.02743973017,-383.0,Caillette
49,155840.73633990757,124478.87512583454,-382.0,Caillette
50,155862.63030392452,124477.48021953984,-381.1,Caillette
51,155953.31551638234,124474.34900180524,-365.6,Caillette
52,155961.51770449613,124460.5472429599,-371.9,Caillette
53,155961.00506773902,124450.41280860777,-376.8,Caillette
54,156091.019,124692.29277477787,-274.0,Caillette
55,156108.04054630102,124690.74538589276,-274.0,Caillette
56,156119.7054778965,124687.53157820829,-274.0,Caillette
57,156213.56056527438,124705.98121491542,-253.3,Caillette
58,156227.1299754977,124707.64763371478,-251.0,Caillette
59,156236.23576393703,124707.35005892917,-249.5,Caillette
60,156174.2211786182,124515.23577734656,-358.2,Caillette
61,156235.22400966604,124493.92942269765,-358.2,Caillette
62,156232.12923189581,124479.76486290315,-358.2,Caillette
63,156235.9450038412,124493.88646491269,-358.2,Caillette
64,156248.73491451587,124491.03333099294,-358.2,Caillette
65,156245.58662881135,124476.76766139426,-358.2,Caillette
66,156248.80870246212,124490.95954304677,-358.2,Caillette
67,156257.88461984473,124489.6067640331,-353.0,Caillette
68,156272.66680506678,124487.7620653781,-347.0,Caillette
69,156203.84724724418,124298.37300346457,-431.1,Caillette
70,156229.37787662938,124294.33926240564,-431.1,Caillette
71,156254.66254619393,124293.1094633023,-431.0,Caillette
72,155859.5417140234,124236.39899093204,-528.1,Caillette
73,155866.99661132027,124253.6517532477,-520.6,Caillette
74,155875.83598954373,124251.84127818988,-519.5,Caillette
75,155930.17686591158,124257.59219896181,-509.8,Caillette
76,155947.42962822723,124283.36484390248,-499.0,Caillette
77,155962.76541695226,124289.4352602728,-487.3,Caillette
78,156072.6107745644,124228.93089108386,-509.6,Caillette
79,156084.45227286633,124228.80491769768,-509.45,Caillette
80,156095.66390423727,124226.07549433022,-509.375,Caillette
81,156015.50315728365,124234.6221042346,-509.95,Caillette
82,156022.94176649064,124235.32146065577,-509.8,Caillette
83,156054.7942725821,124229.85376499935,-509.75,Caillette
84,155940.50996139477,124253.99992981422,-509.8,Caillette
85,155964.35773427133,124249.74743941272,-509.9,Caillette
86,155996.20308852798,124238.89875651343,-510.0,Caillette
87,154552.2175085469,124364.78242660206,-527.0,Caillette
88,154558.32324775678,124365.42822594156,-526.4,Caillette
89,154570.71085326915,124365.78048012675,-526.4,Caillette
90,154545.8582248621,124362.2528478575,-528.0,Caillette
91,154552.2614414221,124364.66915599334,-527.0,Caillette
92,154548.3802464789,124304.51818533646,-557.0,Caillette
93,154498.62712129383,124358.36678452836,-527.4,Caillette
94,154533.04653935193,124359.84718960612,-528.0,Caillette
95,154533.11593333996,124303.66119063899,-557.0,Caillette
96,154714.10102337637,123591.28357045213,-710.0,Caillette
97,154725.76739177248,123608.3510353279,-716.4,Caillette
98,154742.61881278906,123618.61311863929,-716.8,Caillette
99,154626.89218142416,124043.71257166748,-650.9,Caillette
100,154623.64917411713,123994.0650779853,-663.5,Caillette
101,154652.60038480355,123994.83160698514,-660.5,Caillette
102,154833.45893618336,124305.83504797972,-524.9,Caillette
103,154854.4624010444,124297.22707057766,-524.9,Caillette
104,154837.7055383684,124246.2391510994,-555.2,Caillette
105,154767.37836299348,124270.48495411519,-555.4,Caillette
106,154761.63971139208,124243.05419946062,-579.0,Caillette
107,154765.54199448103,124242.25078823642,-579.0,Caillette
108,154493.01267627566,124357.03349280625,-527.4,Caillette 
109,154470.7807074245,124350.13391626625,-527.4,Caillette 
110,154408.1734388208,124327.06231640758,-527.4,Caillette 
111,153681.3424975917,124009.37909500005,-600.7,Caillette
112,153690.51583040948,124007.36543657663,-600.9,Caillette
113,153727.91767112596,124006.09757756932,-601.6,Caillette
114,153790.0063718498,124006.52114767085,-603.9,Caillette 
115,153796.1705719716,124006.29699493916,-604.0,Caillette 
116,153829.79348172687,124012.51723324388,-604.9,Caillette 
117,153973.8307146256,124014.75316469191,-608.8,Caillette
118,153978.34619353066,124015.08037330821,-608.8,Caillette
119,154004.06479077245,124010.69577784969,-608.9,Caillette
120,154301.99125180487,124098.18621502355,-613.2,Caillette
121,154337.4950965892,124104.62441222917,-614.2,Caillette
122,154346.8711119372,124111.5,-614.0,Caillette
123,153830.01662762125,123877.44024501283,-660.3,Caillette
124,153836.97192111285,123876.97655878005,-660.3,Caillette
125,153871.9802316872,123873.84667670882,-660.9,Caillette
126,153857.30188814815,123414.46781962216,-755.1,Caillette 
127,153895.6330497616,123419.87745936599,-756.6,Caillette 
128,153931.10483036752,123421.57763185691,-757.6,Caillette 
129,154032.82939058242,123436.33472370342,-760.0,Caillette 
130,154045.7277132172,123438.15915749715,-760.6,Caillette 
131,154076.48851555338,123442.0625972419,-760.7,Caillette 
